fec;pet;eur;oro;dol;c18;c36;ibe
220918;79.4;3524;1232.78;3006.96;46.943;52.009;9567.08
230918;80.23;3534.4;1235.69;3006.96;46.973;52.026;9541.47
240918;81.2;3527.5;1240;3006.96;47;52;9512.8
250918;81.87;3534.5;1240.8;2991.9;47.017;51.917;9493.6
260918;81.34;3521.5;1234.4;3001.88;47.025;51.788;9524.8
270918;81.72;3477;1222.4;3000.14;47.026;51.628;9527.5
280918;82.72;3439.5;1231.3;2989.58;47.022;51.453;9389.2
290918;83.93;3439.5;1230.85;2972.18;47.015;51.279;9365.21
300918;84.87;3458;1223.96;2972.18;47.007;51.123;9418.43
11018;84.98;3473;1227;2972.18;47;51;9407
21018;84.8;3485.5;1242.7;2993.74;46.996;50.923;9305.5
31018;86.29;3462;1238.7;3005.5;46.995;50.886;9361.1
41018;84.58;3494.5;1237.5;3012.65;46.995;50.881;9314.5
51018;84.16;3495;1242.2;3028.16;46.997;50.899;9253.9
61018;83.78;3495;1237.89;3031.31;46.998;50.931;9198.78
71018;83.4;3487.5;1228.8;3031.31;47;50.967;9169.02
81018;83.91;3501;1224.9;3031.31;47;51;9199.2
91018;85;3516.5;1227.8;3031.31;46.999;51.021;9260.5
101018;83.09;3564.5;1229.4;3057.55;46.996;51.032;9162.9
111018;80.26;3583;1264;3090.3;46.994;51.034;9007.9
121018;80.43;3581;1258.1;3087.34;46.992;51.029;8902
131018;80.63;3581;1253.47;3088.78;46.992;51.021;8832.61
141018;80.47;3577.9;1259.63;3088.78;46.994;51.01;8825.51
151018;80.78;3583.5;1266.9;3088.78;47;51;8923.7
161018;81.41;3532.5;1267.3;3088.78;47.01;50.992;9074.7
171018;80.05;3527.5;1263.4;3055.93;47.021;50.986;8997.2
181018;79.29;3541.5;1266.6;3056.37;47.03;50.983;8889.6
191018;79.78;3545;1265.3;3088.47;47.036;50.983;8892.1
201018;80.92;3545;1259.42;3079.88;47.035;50.986;8893.5
211018;81.43;3544.1;1255.68;3079.88;47.024;50.991;8863.23
221018;79.83;3538.5;1261.3;3079.88;47;51;8806.5
231018;76.44;3580;1273.5;3087.58;46.963;51.011;8726.1
241018;76.17;3606.5;1267.6;3110.2;46.921;51.023;8677.4
251018;76.89;3607;1269;3149.7;46.885;51.032;8785.2
261018;77.62;3628;1272.3;3167.18;46.864;51.038;8730.4
271018;78.19;3628;1270.2;3185.26;46.87;51.036;8727.49
281018;78.24;3597.8;1265.68;3185.26;46.911;51.024;8787.82
291018;77.34;3624.5;1263.7;3185.26;47;51;8821.2
301018;75.91;3638.5;1261.5;3188.69;47.141;50.964;8806.1
311018;75.47;3641.5;1250.8;3202.44;47.317;50.922;8893.5
11118;72.89;3644;1274.8;3219.85;47.509;50.887;8954.8
21118;72.83;3628;1269.9;3193.8;47.694;50.867;8993
31118;73.5;3628;1266.04;3177.57;47.851;50.872;9028.85
41118;73.73;3655.9;1268.99;3177.57;47.961;50.913;9043.57
51118;73.17;3630;1269;3177.57;48;51;9010.7
61118;72.13;3596.5;1263;3177.57;47.956;51.138;8988.9
71118;72.07;3575;1265.4;3154.55;47.842;51.311;9167.9
81118;70.65;3583;1262;3140.25;47.682;51.5;9177
91118;70.18;3605;1245;3145.39;47.495;51.683;9134.8
101118;71.4;3605;1237.54;3176.89;47.305;51.841;9083.49
111118;72.24;3579.9;1238.8;3176.89;47.133;51.954;9050.28
121118;70.12;3565.5;1239.6;3176.89;47;52;9076.3
131118;65.47;3600;1237.5;3176.89;46.923;51.967;9145.4
141118;66.12;3624;1246.2;3197.2;46.894;51.866;9106.6
151118;66.62;3613.5;1251.7;3194.7;46.899;51.716;9073.5
161118;66.76;3618;1259;3198.29;46.926;51.536;9056.8
171118;68.02;3618;1265.06;3173.59;46.961;51.344;9081.88
181118;68.82;3614.2;1266.64;3173.59;46.99;51.159;9092.57
191118;66.79;3637.5;1261.6;3173.59;47;51;9006.3
201118;62.53;3636;1257.5;3178.81;46.982;50.882;8866.5
211118;63.48;3635;1264.7;3189.51;46.947;50.806;8960.6
221118;62.6;3640.5;1228;3196.26;46.907;50.771;8906.2
231118;58.8;3661;1260;3196.26;46.878;50.775;8916.7
241118;57.71;3661;1281.86;3223.95;46.875;50.816;8984.4
251118;59.01;3619.2;1276.27;3223.95;46.91;50.891;9054.63
261118;60.48;3675.5;1259.7;3223.95;47;51;9091.2
271118;60.21;3684;1250.4;3240.65;47.151;51.138;9085.6
